# Curated GGUF catalog for llama.cpp. Resource figures are practical planning estimates, not guarantees.
# id	task	family	params_b	active_b	quant	file_mib	min_ram_gib	recommended_ram_gib	full_vram_gib	recommended_cores	context_k	license	hf_repo	file_match	mmproj_match	notes
id	task	family	params_b	active_b	quant	file_mib	min_ram_gib	recommended_ram_gib	full_vram_gib	recommended_cores	context_k	license	hf_repo	file_match	mmproj_match	notes
qwen3.5-0.8b-q4_0	Chat/Vision	Qwen3.5	0.8	0.8	Q4_0	553	2	4	2	2-4	262	Apache-2.0	bartowski/Qwen_Qwen3.5-0.8B-GGUF	*Q4_0.gguf	*mmproj*-f16.gguf	Fast small model; Q4_0 can use GGML online CPU repacking. Vision requires a matching projection file when supplied by the repository.
qwen3.5-0.8b-q4_k_m	Chat/Vision	Qwen3.5	0.8	0.8	Q4_K_M	594	2	4	2	2-4	262	Apache-2.0	bartowski/Qwen_Qwen3.5-0.8B-GGUF	*Q4_K_M.gguf	*mmproj*-f16.gguf	Recommended tiny general model and default service choice; text works without an mmproj.
qwen3.5-2b-q4_k_m	Chat/Vision	Qwen3.5	2.0	2.0	Q4_K_M	1320	3	6	3	4-6	262	Apache-2.0	bartowski/Qwen_Qwen3.5-2B-GGUF	*Q4_K_M.gguf	*mmproj*-f16.gguf	Stronger compact assistant for modest desktops and laptops.
qwen3.5-4b-q4_k_m	Chat/Vision	Qwen3.5	4.0	4.0	Q4_K_M	2630	5	8	4	4-8	262	Apache-2.0	bartowski/Qwen_Qwen3.5-4B-GGUF	*Q4_K_M.gguf	*mmproj*-f16.gguf	Balanced modern assistant; lower context sizes reduce KV-cache memory substantially.
qwen3.5-9b-q4_k_m	Chat/Vision	Qwen3.5	9.0	9.0	Q4_K_M	5700	9	16	8	6-12	262	Apache-2.0	bartowski/Qwen_Qwen3.5-9B-GGUF	*Q4_K_M.gguf	*mmproj*-f16.gguf	Higher-quality model for 16 GiB-class systems; use partial GPU offload if VRAM is limited.
qwen3-0.6b-q4_k_m	Chat/Reasoning	Qwen3	0.6	0.6	Q4_K_M	430	2	4	2	2-4	40	Apache-2.0	bartowski/Qwen_Qwen3-0.6B-GGUF	*Q4_K_M.gguf	-	Very small multilingual reasoning/chat model.
qwen3-1.7b-q4_k_m	Chat/Reasoning	Qwen3	1.7	1.7	Q4_K_M	1120	3	6	3	4-6	40	Apache-2.0	bartowski/Qwen_Qwen3-1.7B-GGUF	*Q4_K_M.gguf	-	Good low-resource reasoning model.
qwen3-4b-q4_k_m	Chat/Reasoning	Qwen3	4.0	4.0	Q4_K_M	2500	5	8	4	4-8	40	Apache-2.0	bartowski/Qwen_Qwen3-4B-GGUF	*Q4_K_M.gguf	-	Practical quality/speed balance for an average computer.
qwen3-8b-q4_k_m	Chat/Reasoning	Qwen3	8.2	8.2	Q4_K_M	5150	8	16	7	6-12	40	Apache-2.0	bartowski/Qwen_Qwen3-8B-GGUF	*Q4_K_M.gguf	-	Strong local reasoning and multilingual chat model.
qwen3-14b-q4_k_m	Chat/Reasoning	Qwen3	14.8	14.8	Q4_K_M	9200	13	24	12	8-16	40	Apache-2.0	bartowski/Qwen_Qwen3-14B-GGUF	*Q4_K_M.gguf	-	Demanding dense model; 24-32 GiB RAM or substantial VRAM is recommended.
